GeneSymbol,GO_Term,GO_Name
HUWE1,GO:0006508,proteolysis
IFT172,GO:0006508,proteolysis
IFT80,GO:0006508,proteolysis
IGF2BP2,GO:0006508,proteolysis
IHH,GO:0006508,proteolysis
INS2,GO:0006508,proteolysis
IPO9,GO:0006508,proteolysis
IPP,GO:0006508,proteolysis
IRGQ,GO:0006508,proteolysis
ISG15,GO:0006508,proteolysis
ITCH,GO:0006508,proteolysis
IVNS1ABP,GO:0006508,proteolysis
JAK2,GO:0006508,proteolysis
JKAMP,GO:0006508,proteolysis
KAT2B,GO:0006508,proteolysis
KAT5,GO:0006508,proteolysis
KBTBD12,GO:0006508,proteolysis
KBTBD2,GO:0006508,proteolysis
KBTBD3,GO:0006508,proteolysis
KBTBD6,GO:0006508,proteolysis
KBTBD7,GO:0006508,proteolysis
KBTBD8,GO:0006508,proteolysis
KCMF1,GO:0006508,proteolysis
KCTD10,GO:0006508,proteolysis
KCTD13,GO:0006508,proteolysis
KCTD17,GO:0006508,proteolysis
KCTD2,GO:0006508,proteolysis
KCTD21,GO:0006508,proteolysis
KCTD5,GO:0006508,proteolysis
KCTD6,GO:0006508,proteolysis
KEAP1,GO:0006508,proteolysis
KEL,GO:0006508,proteolysis
KIF12,GO:0006508,proteolysis
KIF14,GO:0006508,proteolysis
KLF1,GO:0006508,proteolysis
KLHDC1,GO:0006508,proteolysis
KLHDC10,GO:0006508,proteolysis
KLHDC2,GO:0006508,proteolysis
KLHDC3,GO:0006508,proteolysis
KLHL1,GO:0006508,proteolysis
KLHL10,GO:0006508,proteolysis
KLHL11,GO:0006508,proteolysis
KLHL12,GO:0006508,proteolysis
KLHL13,GO:0006508,proteolysis
KLHL15,GO:0006508,proteolysis
KLHL17,GO:0006508,proteolysis
KLHL18,GO:0006508,proteolysis
KLHL2,GO:0006508,proteolysis
KLHL20,GO:0006508,proteolysis
KLHL21,GO:0006508,proteolysis
KLHL22,GO:0006508,proteolysis
KLHL23,GO:0006508,proteolysis
KLHL24,GO:0006508,proteolysis
KLHL25,GO:0006508,proteolysis
KLHL26,GO:0006508,proteolysis
KLHL28,GO:0006508,proteolysis
KLHL29,GO:0006508,proteolysis
KLHL3,GO:0006508,proteolysis
KLHL30,GO:0006508,proteolysis
KLHL32,GO:0006508,proteolysis
KLHL35,GO:0006508,proteolysis
KLHL36,GO:0006508,proteolysis
KLHL38,GO:0006508,proteolysis
KLHL4,GO:0006508,proteolysis
KLHL40,GO:0006508,proteolysis
KLHL41,GO:0006508,proteolysis
KLHL42,GO:0006508,proteolysis
KLHL5,GO:0006508,proteolysis
KLHL6,GO:0006508,proteolysis
KLHL7,GO:0006508,proteolysis
KLHL8,GO:0006508,proteolysis
KLHL9,GO:0006508,proteolysis
KLK1,GO:0006508,proteolysis
KLK13,GO:0006508,proteolysis
KLK1B1,GO:0006508,proteolysis
KLK1B11,GO:0006508,proteolysis
KLK1B16,GO:0006508,proteolysis
KLK1B21,GO:0006508,proteolysis
KLK1B22,GO:0006508,proteolysis
KLK1B24,GO:0006508,proteolysis
KLK1B26,GO:0006508,proteolysis
KLK1B27,GO:0006508,proteolysis
KLK1B3,GO:0006508,proteolysis
KLK1B4,GO:0006508,proteolysis
KLK1B5,GO:0006508,proteolysis
KLK1B8,GO:0006508,proteolysis
KLK1B9,GO:0006508,proteolysis
KLKB1,GO:0006508,proteolysis
LGMN,GO:0006508,proteolysis
LNX1,GO:0006508,proteolysis
LONP1,GO:0006508,proteolysis
LONP2,GO:0006508,proteolysis
LONRF2,GO:0006508,proteolysis
LRRC58,GO:0006508,proteolysis
LRRC75A,GO:0006508,proteolysis
LTN1,GO:0006508,proteolysis
LVRN,GO:0006508,proteolysis
LZTR1,GO:0006508,proteolysis
MAEA,GO:0006508,proteolysis
MAFB,GO:0006508,proteolysis
MAN1A,GO:0006508,proteolysis
MAN1A1,GO:0006508,proteolysis
MAN1A2,GO:0006508,proteolysis
MAN1B1,GO:0006508,proteolysis
MAN1C1,GO:0006508,proteolysis
MAP3K1,GO:0006508,proteolysis
MAP3K7,GO:0006508,proteolysis
MAPKAP1,GO:0006508,proteolysis
MARCHF6,GO:0006508,proteolysis
MARCHF8,GO:0006508,proteolysis
MASP1,GO:0006508,proteolysis
MASP2,GO:0006508,proteolysis
MBL2,GO:0006508,proteolysis
MBTPS1,GO:0006508,proteolysis
MBTPS2,GO:0006508,proteolysis
MDM2,GO:0006508,proteolysis
MEP1A,GO:0006508,proteolysis
METAP2,GO:0006508,proteolysis
MIB1,GO:0006508,proteolysis
MIDN,GO:0006508,proteolysis
MKIAA0617,GO:0006508,proteolysis
MKIAA0684,GO:0006508,proteolysis
MKRN2,GO:0006508,proteolysis
MME,GO:0006508,proteolysis
MMEL1,GO:0006508,proteolysis
MMP14,GO:0006508,proteolysis
MMP16,GO:0006508,proteolysis
MMP7,GO:0006508,proteolysis
MTA1,GO:0006508,proteolysis
MTOR,GO:0006508,proteolysis
MUS MUSCULUS SMALL NUCLEOLAR RNA HOST GENE 15 (SNHG15),GO:0006508,proteolysis
MYC,GO:0006508,proteolysis
MYH9,GO:0006508,proteolysis
MYLIP,GO:0006508,proteolysis
MYRF,GO:0006508,proteolysis
MYRFL,GO:0006508,proteolysis
NAA30,GO:0006508,proteolysis
NAGLU,GO:0006508,proteolysis
NAPSA,GO:0006508,proteolysis
NCCRP1,GO:0006508,proteolysis
NCOA3,GO:0006508,proteolysis
NCSTN,GO:0006508,proteolysis
NDFIP1,GO:0006508,proteolysis
NDFIP2,GO:0006508,proteolysis
NEDD4,GO:0006508,proteolysis
NEDD4L,GO:0006508,proteolysis
NEDD8,GO:0006508,proteolysis
NEMF,GO:0006508,proteolysis
NFE2L2,GO:0006508,proteolysis
NHLRC1,GO:0006508,proteolysis
NHLRC3,GO:0006508,proteolysis
NLRP1A,GO:0006508,proteolysis
NLRP1B,GO:0006508,proteolysis
NLRP4A,GO:0006508,proteolysis
NLRP4B,GO:0006508,proteolysis
NLRP4C,GO:0006508,proteolysis
NLRP4E,GO:0006508,proteolysis
NLRP4F,GO:0006508,proteolysis
NPLOC4,GO:0006508,proteolysis
NR1D1,GO:0006508,proteolysis
NRROS,GO:0006508,proteolysis
NSFL1C,GO:0006508,proteolysis
NTAN1,GO:0006508,proteolysis
NUB1,GO:0006508,proteolysis
OGT,GO:0006508,proteolysis
OMA1,GO:0006508,proteolysis
OOG1,GO:0006508,proteolysis
OOG2,GO:0006508,proteolysis
OOG3,GO:0006508,proteolysis
OOG4,GO:0006508,proteolysis
OS9,GO:0006508,proteolysis
OTUB1,GO:0006508,proteolysis
OTUD5,GO:0006508,proteolysis
OXA1L,GO:0006508,proteolysis
P2RX7,GO:0006508,proteolysis
P4HB,GO:0006508,proteolysis
PAM,GO:0006508,proteolysis
PARL,GO:0006508,proteolysis
PARP1,GO:0006508,proteolysis
PCBP2,GO:0006508,proteolysis
PCNP,GO:0006508,proteolysis
PCSK1,GO:0006508,proteolysis
PCSK1N,GO:0006508,proteolysis
PCSK2,GO:0006508,proteolysis
PCSK4,GO:0006508,proteolysis
PCSK5,GO:0006508,proteolysis
PCSK6,GO:0006508,proteolysis
PCSK7,GO:0006508,proteolysis
PCSK9,GO:0006508,proteolysis
PCYOX1,GO:0006508,proteolysis
PCYOX1L,GO:0006508,proteolysis
PDCD6IP,GO:0006508,proteolysis
PELI1,GO:0006508,proteolysis
PGK1,GO:0006508,proteolysis
PHEX,GO:0006508,proteolysis
PIDD1,GO:0006508,proteolysis
PIK3C3,GO:0006508,proteolysis
PISD,GO:0006508,proteolysis
PJA2,GO:0006508,proteolysis
PLAA,GO:0006508,proteolysis
PLAT,GO:0006508,proteolysis
PLAU,GO:0006508,proteolysis
PLAUR,GO:0006508,proteolysis
PLG,GO:0006508,proteolysis
PMAIP1,GO:0006508,proteolysis
PML,GO:0006508,proteolysis
PMP22,GO:0006508,proteolysis
PMPCA,GO:0006508,proteolysis
PMPCB,GO:0006508,proteolysis
PPP1R11,GO:0006508,proteolysis
PPP2CB,GO:0006508,proteolysis
PPP2R5C,GO:0006508,proteolysis
PPP3CA,GO:0006508,proteolysis
PRAMEL1,GO:0006508,proteolysis
PRAMEL11,GO:0006508,proteolysis
PRAMEL12,GO:0006508,proteolysis
PRAMEL13,GO:0006508,proteolysis
PRAMEL14,GO:0006508,proteolysis
PRAMEL15,GO:0006508,proteolysis
PRAMEL16,GO:0006508,proteolysis
PRAMEL17,GO:0006508,proteolysis
PRAMEL18,GO:0006508,proteolysis
PRAMEL19,GO:0006508,proteolysis
PRAMEL20,GO:0006508,proteolysis
PRAMEL21,GO:0006508,proteolysis
PRAMEL22,GO:0006508,proteolysis
PRAMEL23,GO:0006508,proteolysis
PRAMEL24,GO:0006508,proteolysis
PRAMEL25,GO:0006508,proteolysis
PRAMEL26,GO:0006508,proteolysis
PRAMEL27,GO:0006508,proteolysis
PRAMEL28,GO:0006508,proteolysis
PRAMEL29,GO:0006508,proteolysis
PRAMEL30,GO:0006508,proteolysis
PRAMEL31,GO:0006508,proteolysis
PRAMEL32,GO:0006508,proteolysis
PRAMEL33,GO:0006508,proteolysis
PRAMEL35,GO:0006508,proteolysis
PRAMEL38,GO:0006508,proteolysis
PRAMEL40,GO:0006508,proteolysis
PRAMEL41,GO:0006508,proteolysis
PRAMEL42,GO:0006508,proteolysis
PRAMEL43,GO:0006508,proteolysis
PRAMEL44,GO:0006508,proteolysis
PRAMEL45,GO:0006508,proteolysis
PRAMEL46,GO:0006508,proteolysis
PRAMEL47,GO:0006508,proteolysis
PRAMEL48,GO:0006508,proteolysis
PRAMEL49,GO:0006508,proteolysis
PRAMEL5,GO:0006508,proteolysis
PRAMEL50,GO:0006508,proteolysis
PRAMEL51,GO:0006508,proteolysis
PRAMEL53,GO:0006508,proteolysis
PRAMEL56,GO:0006508,proteolysis
PRAMEL57,GO:0006508,proteolysis
PRAMEL6,GO:0006508,proteolysis
PRAMEL7,GO:0006508,proteolysis
PRAMEX1,GO:0006508,proteolysis
PRCP,GO:0006508,proteolysis
PREP,GO:0006508,proteolysis
PRKAA1,GO:0006508,proteolysis
PRKCA,GO:0006508,proteolysis
PRKCQ,GO:0006508,proteolysis
PRKN,GO:0006508,proteolysis
PROCA1,GO:0006508,proteolysis
PRPF19,GO:0006508,proteolysis
PRSS12,GO:0006508,proteolysis
PRSS22,GO:0006508,proteolysis
PRSS27,GO:0006508,proteolysis
PRSS3B,GO:0006508,proteolysis
PRSS41,GO:0006508,proteolysis
PRSS47,GO:0006508,proteolysis
PRSS50,GO:0006508,proteolysis
PRSS52,GO:0006508,proteolysis
PRSS55,GO:0006508,proteolysis
PRSS8,GO:0006508,proteolysis
PRTN3,GO:0006508,proteolysis
PSEN1,GO:0006508,proteolysis
PSEN2,GO:0006508,proteolysis
PSENEN,GO:0006508,proteolysis
PSMA1,GO:0006508,proteolysis
PSMA2,GO:0006508,proteolysis
PSMA3,GO:0006508,proteolysis
PSMA4,GO:0006508,proteolysis
PSMA5,GO:0006508,proteolysis
PSMA6,GO:0006508,proteolysis
PSMA7,GO:0006508,proteolysis
PSMA8,GO:0006508,proteolysis
PSMB1,GO:0006508,proteolysis
PSMB10,GO:0006508,proteolysis
PSMB11,GO:0006508,proteolysis
PSMB2,GO:0006508,proteolysis
PSMB3,GO:0006508,proteolysis
PSMB4,GO:0006508,proteolysis
PSMB5,GO:0006508,proteolysis
PSMB6,GO:0006508,proteolysis
PSMB7,GO:0006508,proteolysis
PSMB8,GO:0006508,proteolysis
PSMB9,GO:0006508,proteolysis
PSMC1,GO:0006508,proteolysis
PSMC2,GO:0006508,proteolysis
PSMC3,GO:0006508,proteolysis
PSMC4,GO:0006508,proteolysis
PSMC5,GO:0006508,proteolysis
PSMC6,GO:0006508,proteolysis
PSMD1,GO:0006508,proteolysis
PSMD11,GO:0006508,proteolysis
PSMD13,GO:0006508,proteolysis
PSMD14,GO:0006508,proteolysis
PSMD2,GO:0006508,proteolysis
PSMD3,GO:0006508,proteolysis
PSMD4,GO:0006508,proteolysis
PSMD6,GO:0006508,proteolysis
PSMD7,GO:0006508,proteolysis
PSMD8,GO:0006508,proteolysis
PSME4,GO:0006508,proteolysis
PSMF1,GO:0006508,proteolysis
PTCH1,GO:0006508,proteolysis
PTHLH,GO:0006508,proteolysis
PTPN23,GO:0006508,proteolysis
