gene_symbol,pathway,level,n_genes
Slc25a4,Metabolism,level_0,464
Slc25a41,Metabolism,level_0,464
Slc25a42,Metabolism,level_0,464
Slc25a44,Metabolism,level_0,464
Slc25a5,Metabolism,level_0,464
Slc25a51,Metabolism,level_0,464
Sod1,Metabolism,level_0,464
Sod2,Metabolism,level_0,464
Sphk2,Metabolism,level_0,464
Spr,Metabolism,level_0,464
Sptlc2,Metabolism,level_0,464
Sqor,Metabolism,level_0,464
Star,Metabolism,level_0,464
Stard7,Metabolism,level_0,464
Sucla2,Metabolism,level_0,464
Suclg1,Metabolism,level_0,464
Suclg2,Metabolism,level_0,464
Sugct,Metabolism,level_0,464
Suox,Metabolism,level_0,464
Tamm41,Metabolism,level_0,464
Taz,Metabolism,level_0,464
Them4,Metabolism,level_0,464
Them5,Metabolism,level_0,464
Tk2,Metabolism,level_0,464
Tmlhe,Metabolism,level_0,464
Triap1,Metabolism,level_0,464
Tspo,Metabolism,level_0,464
Tst,Metabolism,level_0,464
Tstd1,Metabolism,level_0,464
Txn2,Metabolism,level_0,464
Txnrd1,Metabolism,level_0,464
Txnrd2,Metabolism,level_0,464
Uqcrfs1,Metabolism,level_0,464
Zadh2,Metabolism,level_0,464
mt-Co1,Metabolism,level_0,464
mt-Cytb,Metabolism,level_0,464
